Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Javier Sanoja","MIA",52,224,206,53,37,11,2,3,24,23,14,0,23,1,2,1,,5,3,0.257735,0.0611999,0.103868,0.589209,0.305549,0.379549,0.298981,0.685098,0.121814,5.26419,0.274926,0.0861225,-0.460618,23.9076,-2.55969,89.0554,-0.374496,0.465981,-3.28013676404953,0.9659809768199921,0.52572,999,,,,,,,208.4,4.007692307,208.4,4.007692307,,,,,,,,,,,,,,,,,,,"Javier Sanoja","28253",691594
"Rob Refsnyder","SEA",62,266,232,54,34,11,0,8,31,31,28,1,75,4,2,0,,3,1,0.233601,0.105198,0.280261,0.375357,0.323458,0.389769,0.313231,0.713226,0.156167,3.5584,0.304706,-0.150801,-0.221821,31.468,0.038067,106.849,-0.372622,-0.394633,1.7745029926300049,-5.794632256031036,0.525391,999,,,,,,,276.4,4.458064516,276.4,4.458064516,,,,,,,,,,,,,,,,,,,"Rob Refsnyder","13770",608701
"Andrew Benintendi","CHW",120,518,466,117,80,20,1,16,57,60,45,2,90,3,4,1,,3,1,0.250632,0.0862329,0.173242,0.49776,0.31721,0.400164,0.312206,0.717374,0.149533,3.09563,0.277215,-0.2383,-0.641777,60.8486,-0.357103,99.3536,-0.880077,-4.77232,-1.274700939655304,-11.422318935394287,0.525037,742.9600219726562,,,,,,,550.2,4.585,550.2,4.585,,,,,,,,,,,,,,,,,,,"Andrew Benintendi","17901",643217
"Jesse Winker",,53,231,195,47,31,8,1,6,26,25,31,1,50,3,1,1,,3,1,0.239204,0.134808,0.216334,0.623147,0.351435,0.384517,0.327125,0.735952,0.145313,4.22113,0.289795,-0.531142,-0.179955,29.9332,2.63879,109.426,-0.711097,-0.137532,1.8623575568199158,-4.612532123923302,0.518506,999,,,,,,,258.4,4.875471698,258.4,4.875471698,,,,,,,,,,,,,,,,,,,"Jesse Winker","13590",608385
"Darell Hernaiz","ATH",37,161,145,38,28,8,1,2,18,16,13,0,23,1,1,1,,3,1,0.262393,0.0783098,0.143139,0.54709,0.323604,0.368756,0.305445,0.69236,0.106363,4.70161,0.296592,-0.0365319,-0.0674711,18.0286,-0.994818,92.1337,-0.104003,0.217524,-1.596685767173767,1.0925240367650986,0.515368,999,,,,,,,160.4,4.335135135,160.4,4.335135135,,,,,,,,,,,,,,,,,,,"Darell Hernaiz","26224",687231
"Amed Rosario","NYY",52,224,211,55,40,10,2,4,24,25,9,0,39,2,1,0,,4,1,0.261528,0.0407839,0.17629,0.231345,0.296222,0.380298,0.294307,0.676519,0.11877,5.2789,0.302573,0.406369,0.0733238,23.0576,-3.40974,88.4088,0.479693,-0.374737,-2.5805051922798157,-0.12473714351654053,0.51202,999,,,,,,,212.8,4.092307692,212.8,4.092307692,,,,,,,,,,,,,,,,,,,"Amed Rosario","15518",642708
"Javier Báez","DET",97,420,395,94,63,17,2,11,45,49,16,0,99,5,3,1,,6,1,0.237463,0.0375072,0.236664,0.158483,0.273515,0.375834,0.281327,0.649348,0.138371,4.92887,0.287552,0.239741,0.14038,38.8069,-10.8193,78.0886,0.380121,-1.51483,-10.466456651687622,0.9851725101470947,0.508947,742.8099975585938,,,,,,,367.1,3.784536082,367.1,3.784536082,,,,,,,,,,,,,,,,,,,"Javier Baez","12979",595879
"Austin Wynns","ATH",42,166,152,35,24,7,0,4,16,19,11,0,46,1,1,1,,1,0,0.232848,0.0685828,0.274837,0.24954,0.290596,0.363335,0.287132,0.653932,0.130487,2.62371,0.303716,-0.0916287,-0.188172,16.1592,-3.50227,79.5187,-0.2798,0.734759,-4.29662898182869,3.9847591519355774,0.505091,999,,,,,,,139.8,3.328571428,139.8,3.328571428,,,,,,,,,,,,,,,,,,,"Austin Wynns","15271",642851
"Braxton Fulford","COL",42,166,148,36,23,8,1,5,20,20,12,0,44,4,1,1,,2,1,0.244079,0.0748508,0.267392,0.279929,0.315564,0.404318,0.314591,0.719882,0.160239,4.98541,0.313917,0.014242,-0.191553,19.869,0.207567,87.4375,-0.177311,0.389631,-2.6548664569854736,3.6396306455135345,0.497077,999,,,,,,,178.5,4.25,178.5,4.25,,,,,,,,,,,,,,,,,,,"Braxton Fulford","29704",690924
"Michael Massey","KCR",58,252,234,58,39,12,1,7,26,28,12,0,47,3,2,1,,2,1,0.24881,0.0491401,0.186314,0.263748,0.291245,0.392517,0.296322,0.683762,0.143707,3.29615,0.281356,0.0173289,-0.351956,26.3521,-3.42368,85.6519,-0.334627,0.260442,-4.596170365810394,0.760441780090332,0.494957,999,,,,,,,243.1,4.19137931,243.1,4.19137931,,,,,,,,,,,,,,,,,,,"Michael Massey","27684",686681
"Andy Ibáñez","ATH",52,224,204,50,33,11,1,5,24,25,16,0,43,3,1,0,,3,1,0.244887,0.0701114,0.192685,0.363866,0.304823,0.382586,0.301181,0.687409,0.137699,4.27353,0.284831,-0.246992,-0.170674,24.3078,-2.15958,89.1964,-0.417666,0.326816,-3.2699233889579773,0.3768160343170166,0.492799,999,,,,,,,220.5,4.240384615,220.5,4.240384615,,,,,,,,,,,,,,,,,,,"Andy Ibanez","18819",628451
"Jeremiah Jackson","BAL",49,210,197,48,30,10,1,7,23,26,10,0,48,2,1,0,,3,2,0.243922,0.0479462,0.229402,0.209005,0.284249,0.410896,0.299844,0.695145,0.166974,4.10255,0.285887,-0.0218056,-0.263577,22.5607,-2.25244,92.5397,-0.285382,-0.695812,-2.131872534751892,-0.3458120822906494,0.486002,999,,,,,,,208.4,4.253061224,208.4,4.253061224,,,,,,,,,,,,,,,,,,,"Jeremiah Jackson","22239",669236
"Jordan Walker","STL",123,532,482,115,75,24,1,15,54,58,40,1,139,6,3,1,,10,3,0.238601,0.0752924,0.261935,0.287447,0.302639,0.386241,0.30111,0.688879,0.14764,4.28662,0.302279,0.108849,-0.174941,57.7006,-5.1593,94.0035,-0.0660916,-3.21487,-3.8470889255404472,-9.114867925643921,0.484738,409.0899963378906,,,,,,,526.9,4.283739837,526.9,4.283739837,,,,,,,,,,,,,,,,,,,"Jordan Walker","27475",691023
"James Outman","MIN",50,217,189,41,24,8,1,7,27,23,22,1,73,3,2,0,,5,1,0.216332,0.101856,0.337382,0.301903,0.307008,0.38901,0.305153,0.696017,0.172678,5.6141,0.304093,0.0225914,0.197247,24.2479,-1.39228,93.9941,0.219838,-0.123999,-1.3162343949079514,-1.4489994570612907,0.481232,999,,,,,,,217,4.34,217,4.34,,,,,,,,,,,,,,,,,,,"James Outman","24770",681546
"Will Benson","CIN",52,224,196,44,26,9,2,8,28,27,24,0,68,2,2,1,,6,2,0.224967,0.105948,0.304836,0.347557,0.31206,0.412279,0.315188,0.724339,0.187312,5.95969,0.295796,-0.215378,0.0242924,26.8552,0.387908,96.619,-0.191085,0.222988,-1.0887007415294647,-1.6770124733448029,0.47952,999,,,,,,,246.9,4.748076923,246.9,4.748076923,,,,,,,,,,,,,,,,,,,"Will Benson","21853",666181
"Gary Sánchez","MIL",36,143,127,28,16,5,0,7,16,20,12,0,39,3,1,0,,0,0,0.221862,0.0807499,0.272071,0.296797,0.300102,0.423949,0.314528,0.724051,0.202087,2.16472,0.259569,-0.132925,-0.188093,17.0915,0.171293,101.802,-0.321018,-1.06645,-0.015208721160888672,0.4835512638092041,0.469496,999,,,,,,,155.1,4.308333333,155.1,4.308333333,,,,,,,,,,,,,,,,,,,"Gary Sanchez","11442",596142
"Rafael Marchán","PHI",32,128,113,26,18,5,0,2,13,13,11,0,21,2,1,1,,0,0,0.231364,0.0847872,0.163534,0.518469,0.307365,0.343876,0.290119,0.651241,0.112512,2.69537,0.261848,-0.0736243,-0.165064,12.7405,-2.38365,82.7152,-0.238688,0.909451,-2.8609016090631485,3.409450650215149,0.459504,999,,,,,,,104.9,3.278125,104.9,3.278125,,,,,,,,,,,,,,,,,,,"Rafael Marchan","21646",665561
"Zack Gelof","ATH",34,147,132,30,18,6,0,5,18,18,13,0,47,1,1,1,,5,1,0.227799,0.0875086,0.321365,0.272303,0.29924,0.399047,0.304627,0.698286,0.171248,5.37026,0.309591,0.0660774,0.262874,16.3633,-1.00584,91.5708,0.328952,0.484483,-1.1314640641212463,0.5094833374023438,0.454014,999,,,,,,,149.1,4.385294117,149.1,4.385294117,,,,,,,,,,,,,,,,,,,"Zack Gelof","29766",680869
"Thomas Saggese","STL",39,168,154,38,27,8,0,4,18,18,10,0,42,2,1,0,,2,1,0.249132,0.0599041,0.25207,0.237649,0.301385,0.374335,0.296045,0.67572,0.125203,4.07078,0.318301,0.0174591,-0.191856,17.5303,-2.32015,90.5336,-0.174397,0.540188,-2.0592955201864243,0.8901884257793427,0.452251,999,,,,,,,156.6,4.015384615,156.6,4.015384615,,,,,,,,,,,,,,,,,,,"Thomas Saggese","27883",695336
"Noelvi Marte","CIN",113,490,449,114,76,21,2,15,59,60,31,1,108,5,3,1,,14,5,0.25285,0.0634159,0.220748,0.287278,0.306308,0.40984,0.310503,0.716147,0.156989,5.27397,0.298633,0.129738,0.00483225,56.8819,-1.01535,93.4095,0.13457,-2.97488,-3.6928630471229553,-8.224878072738647,0.448607,141.1999969482422,,,,,,,523.3,4.630973451,523.3,4.630973451,,,,,,,,,,,,,,,,,,,"Noelvi Marte","26517",682622
"Christopher Morel","MIA",86,371,329,73,43,15,1,15,43,45,35,1,111,4,2,1,,7,3,0.222907,0.0943116,0.298981,0.315443,0.303119,0.409469,0.310021,0.712588,0.186561,4.59733,0.285212,0.359173,-0.381453,42.9225,-0.914033,96.6182,-0.0222803,0.241428,-1.5092911329120398,-6.633571773767471,0.429753,999,,,,,,,391.9,4.556976744,391.9,4.556976744,,,,,,,,,,,,,,,,,,,"Christopher Morel","21897",666624
"Esteury Ruiz","MIA",23,98,86,21,14,4,1,2,13,11,8,0,22,2,1,1,,8,2,0.245709,0.0837599,0.222957,0.375677,0.325457,0.385886,0.314054,0.711342,0.140177,7.61233,0.303313,-0.0116796,0.705885,11.6589,0.0794923,99.3813,0.694206,0.226239,0.6223451644182205,0.27623891830444336,0.425525,743.280029296875,,,,,,,107.3,4.665217391,107.3,4.665217391,,,,,,,,,,,,,,,,,,,"Esteury Ruiz","21780",665923
"Angel Martínez","CLE",66,287,262,62,41,13,1,6,32,29,18,0,61,3,2,2,,5,2,0.235934,0.0622844,0.212491,0.293115,0.290114,0.370391,0.2888,0.660505,0.134457,4.83784,0.281151,0.203227,-0.143069,28.2593,-5.65193,84.6716,0.0601583,0.606503,-5.124863624572754,-0.6184971332550049,0.423033,999,,,,,,,251.9,3.816666666,251.9,3.816666666,,,,,,,,,,,,,,,,,,,"Angel Martinez","26540",682657
"Jonny DeLuca","TBR",68,294,267,62,41,11,3,8,32,31,21,1,61,4,2,1,,9,2,0.231875,0.0710385,0.20753,0.342304,0.295838,0.379372,0.294919,0.67521,0.147498,6.27359,0.271657,0.0386226,0.478095,30.4092,-4.32912,86.8201,0.516717,-0.731982,-4.05028373003006,-1.9819823503494263,0.418124,999,,,,,,,290.9,4.277941176,290.9,4.277941176,,,,,,,,,,,,,,,,,,,"Jonny DeLuca","26365",676356
"Oswald Peraza","LAA",63,273,248,54,38,9,0,7,30,27,19,0,71,4,1,1,,9,2,0.218515,0.0711001,0.259059,0.274455,0.284463,0.345084,0.278626,0.629548,0.126569,4.92878,0.273595,0.0351994,0.514671,24.6257,-7.63132,75.3003,0.54987,1.4937,-7.397549390792847,2.01870059967041,0.411027,999,,,,,,,226.8,3.6,226.8,3.6,,,,,,,,,,,,,,,,,,,"Oswald Peraza","22823",672724
"Matt Vierling","DET",65,280,253,62,42,11,2,7,32,29,22,0,65,3,2,0,,3,1,0.244867,0.0798043,0.232881,0.342683,0.310762,0.380744,0.303042,0.691505,0.135876,4.60156,0.302339,0.182132,-0.277229,30.8079,-2.27629,93.0474,-0.0950968,-1.93644,-2.3895499408245087,-3.2364431619644165,0.410391,999,,,,,,,281.2,4.326153846,281.2,4.326153846,,,,,,,,,,,,,,,,,,,"Matt Vierling","21558",663837
"Yohel Pozo","STL",44,179,171,45,30,10,0,5,19,22,5,0,22,1,1,0,,1,0,0.264464,0.0305891,0.121155,0.252479,0.288577,0.414936,0.302576,0.703513,0.150471,2.86755,0.275846,-0.12974,-0.140781,19.6712,-1.52628,95.0077,-0.27052,-1.31305,-1.3320109844207764,-0.7880479097366333,0.40995,999,,,,,,,176.9,4.020454545,176.9,4.020454545,,,,,,,,,,,,,,,,,,,"Yohel Pozo","18848",650968
"Vaughn Grissom","LAA",32,140,126,31,22,6,0,3,16,14,11,0,27,2,1,0,,2,1,0.249413,0.0756748,0.193736,0.390607,0.315533,0.370968,0.303058,0.686501,0.121555,4.32919,0.294251,0.0481657,-0.0319646,15.4057,-1.13636,92.1308,0.0162011,-0.123224,-1.28226307220757,0.42677561938762665,0.405473,999,,,,,,,133.2,4.1625,133.2,4.1625,,,,,,,,,,,,,,,,,,,"Vaughn Grissom","26031",687093
"Daniel Schneemann","CLE",47,203,180,40,25,9,1,5,22,20,20,0,55,1,1,1,,4,1,0.219178,0.0971356,0.271411,0.357891,0.298505,0.359272,0.290806,0.657778,0.140094,4.78507,0.284102,-0.0989093,-0.0795654,20.3191,-3.66696,86.054,-0.178475,0.0854404,-3.5151877403259277,0.46044040471315384,0.402312,999,,,,,,,190.6,4.055319148,190.6,4.055319148,,,,,,,,,,,,,,,,,,,"Daniel Schneemann","25180",682177
"James McCann","ARI",53,213,196,47,31,10,0,6,22,24,11,0,55,3,2,1,,1,0,0.238929,0.0529905,0.256956,0.206224,0.287712,0.378406,0.290253,0.666118,0.139477,3.11961,0.2997,-0.305066,-0.156756,21.2244,-3.94323,83.4338,-0.461822,-0.677799,-4.643942773342133,2.5472012162208557,0.390387,999,,,,,,,196.5,3.707547169,196.5,3.707547169,,,,,,,,,,,,,,,,,,,"James McCann","12859",543510
"Tyrone Taylor","NYM",63,273,251,58,37,14,2,6,31,28,14,1,61,5,2,1,,7,2,0.231912,0.0506487,0.225168,0.224937,0.283985,0.372257,0.285555,0.656241,0.140345,6.0197,0.281423,0.266371,0.359232,26.1616,-6.09545,84.5004,0.625603,0.95614,-4.389474511146545,-0.9688602089881897,0.381057,999,,,,,,,246.9,3.919047619,246.9,3.919047619,,,,,,,,,,,,,,,,,,,"Tyrone Taylor","13675",621438
"Ezequiel Duran","TEX",57,245,228,56,37,13,1,5,27,25,13,0,58,3,2,1,,7,2,0.246314,0.0512281,0.236061,0.217012,0.291611,0.376074,0.291315,0.667685,0.129759,5.05543,0.306872,-0.13745,0.264348,24.6242,-4.32448,86.6252,0.126898,-2.12789,-3.7352300584316254,-1.0028948783874512,0.377981,999,,,,,,,231.7,4.06491228,231.7,4.06491228,,,,,,,,,,,,,,,,,,,"Ezequiel Duran","23733",677649
"Endy Rodríguez","PIT",26,105,94,23,15,5,1,2,12,11,9,0,22,1,1,0,,1,0,0.242759,0.0838973,0.207459,0.404403,0.310484,0.386977,0.305507,0.69746,0.144217,4.12,0.28993,-0.0157034,-0.203417,11.7406,-0.642281,92.9835,-0.21912,0.255895,-1.090636968612671,1.1558946669101715,0.375622,999,,,,,,,105.7,4.065384615,105.7,4.065384615,,,,,,,,,,,,,,,,,,,"Endy Rodriguez","25332",682848
"Jahmai Jones","DET",31,133,115,28,17,6,1,4,18,16,14,0,32,3,1,1,,3,1,0.243808,0.10841,0.244281,0.443792,0.34122,0.419952,0.333351,0.761173,0.176145,5.7434,0.305334,-0.00187125,-0.0932999,17.9065,2.19157,113.926,-0.0951711,0.0774788,2.087773881852627,-3.0475212186574936,0.370156,999,,,,,,,156.4,5.04516129,156.4,5.04516129,,,,,,,,,,,,,,,,,,,"Jahmai Jones","18872",663330
"Cody Freeman","TEX",44,189,174,43,29,9,0,5,21,21,11,0,28,1,2,1,,2,1,0.245156,0.0580965,0.150709,0.385489,0.29195,0.380408,0.292084,0.672357,0.135252,4.0017,0.266283,-0.0223589,-0.187085,19.1139,-3.21794,87.1553,-0.209444,-0.510232,-3.0707163959741592,0.16476845741271973,0.368236,999,,,,,,,176.9,4.020454545,176.9,4.020454545,,,,,,,,,,,,,,,,,,,"Cody Freeman","25629",683227
"Starling Marte","KCR",63,273,249,66,48,11,1,6,32,29,17,0,58,5,2,1,,8,2,0.265476,0.061195,0.212662,0.287756,0.322694,0.392747,0.313687,0.715441,0.127271,5.1713,0.321175,-0.125949,0.3816,32.3972,0.140168,97.6147,0.255651,-0.0994762,-0.5118639469146729,-5.324476055800915,0.36422,999,,,,,,,290.2,4.606349206,290.2,4.606349206,,,,,,,,,,,,,,,,,,,"Starling Marte","9241",516782
"Taylor Walls","TBR",65,280,247,52,36,11,1,4,31,25,29,0,66,1,2,1,,12,3,0.212683,0.102825,0.235554,0.436523,0.295435,0.322063,0.276625,0.617498,0.10938,6.10494,0.269356,0.103998,0.541471,24.8023,-8.28184,74.218,0.645469,-0.616334,-7.8629220724105835,1.7336661219596863,0.358901,999,,,,,,,223.8,3.443076923,223.8,3.443076923,,,,,,,,,,,,,,,,,,,"Taylor Walls","22458",670764
"Tyler Austin","CHC",36,154,137,34,19,8,0,6,19,21,15,1,39,1,1,0,,0,0,0.245839,0.0942111,0.251507,0.374586,0.318788,0.446593,0.327427,0.765381,0.200754,2.88722,0.293682,-0.145103,-0.192437,19.9932,1.79696,111.675,-0.33754,0.0352174,1.7934772968292236,-3.4147826582193375,0.35833,999,,,,,,,181,5.027777777,181,5.027777777,,,,,,,,,,,,,,,,,,,"Tyler Austin","11850",592122
"Dane Myers","CIN",62,266,242,59,42,9,1,7,29,31,19,0,68,3,2,0,,10,3,0.244896,0.0701509,0.253897,0.276297,0.30595,0.374114,0.299161,0.680063,0.129218,4.99328,0.309323,-0.0653432,0.366566,28.4294,-3.00059,85.6402,0.301223,-1.20301,-4.225927859544754,-1.1530113518238068,0.355121,999,,,,,,,262.6,4.23548387,262.6,4.23548387,,,,,,,,,,,,,,,,,,,"Dane Myers","22054",667472
"Jett Williams","MIL",34,147,129,29,17,7,1,3,18,16,15,0,39,2,1,0,,5,2,0.221827,0.100083,0.26715,0.374633,0.306608,0.36916,0.298463,0.675768,0.147333,6.29629,0.290447,-0.0065818,0.0447481,15.6277,-1.74151,90.7968,0.0381663,-0.744187,-1.565259661525488,0.08081251382827759,0.348505,999,,,,,,,142.5,4.19117647,142.5,4.19117647,,,,,,,,,,,,,,,,,,,"Jett Williams","sa3020134",702518
"Jimmy Crooks","STL",24,97,88,21,14,4,0,2,10,10,7,0,26,1,1,0,,0,0,0.238321,0.068616,0.267199,0.256798,0.296702,0.367508,0.291432,0.66421,0.129186,3.35917,0.309236,-0.00601148,-0.111691,9.7181,-1.69593,87.3731,-0.117702,0.357394,-1.5633656904101372,1.9323935508728027,0.34443,999,,,,,,,84,3.5,84,3.5,,,,,,,,,,,,,,,,,,,"Jimmy Crooks","31354",699625
"Masataka Yoshida","BOS",40,175,159,44,31,9,0,4,19,21,12,0,23,3,1,0,,2,0,0.278574,0.0686759,0.132171,0.5196,0.338256,0.422055,0.330922,0.760311,0.143481,3.64166,0.300734,-0.139617,-0.0607336,23.2161,2.53853,108.307,-0.200351,-0.00361249,1.5130736380815506,-4.178612678544596,0.343532,746.7999877929688,,,,,,,199.9,4.9975,199.9,4.9975,,,,,,,,,,,,,,,,,,,"Masataka Yoshida","31837",807799
"Jon Berti",,31,133,120,30,23,5,0,2,15,11,10,0,28,1,1,0,,8,2,0.248546,0.0780168,0.211765,0.368412,0.313247,0.337065,0.289682,0.650312,0.0885193,5.93051,0.309083,0.0920572,0.483443,13.191,-2.52395,83.7044,0.5755,0.192167,-1.9860728979110718,0.8171666413545609,0.340945,999,,,,,,,123.9,3.996774193,123.9,3.996774193,,,,,,,,,,,,,,,,,,,"Jon Berti","12037",542932
"Triston Casas","BOS",31,133,115,27,16,6,0,5,15,17,17,1,33,1,1,0,,0,0,0.239909,0.126017,0.251467,0.501127,0.339778,0.434185,0.335112,0.773963,0.194276,2.04077,0.289228,-0.112064,-0.198258,18.0968,2.38183,111.194,-0.310322,-0.213445,1.4444270730018616,-2.8884448260068893,0.320609,743.0900268554688,,,,,,,154.6,4.987096774,154.6,4.987096774,,,,,,,,,,,,,,,,,,,"Triston Casas","22514",671213
"Everson Pereira","CHW",50,217,195,44,28,7,1,8,27,25,18,0,70,3,1,0,,4,1,0.226663,0.0813236,0.320845,0.253467,0.298431,0.395827,0.303519,0.694258,0.169164,5.11696,0.304535,-0.0647534,-0.0368447,23.9601,-1.68014,93.3693,-0.101598,-0.936461,-1.7974557280540466,-2.561460852622986,0.318179,999,,,,,,,220.4,4.408,220.4,4.408,,,,,,,,,,,,,,,,,,,"Everson Pereira","23695",677592
"Connor Wong","BOS",53,211,192,47,31,10,1,5,23,21,15,0,52,3,1,1,,3,1,0.244283,0.068688,0.243888,0.281637,0.304679,0.379319,0.299821,0.683998,0.135035,4.28802,0.307292,-0.102645,-0.288318,22.6856,-2.26933,86.8831,-0.390963,-2.75983,-3.656078189611435,1.3651657104492188,0.314954,999,,,,,,,209.8,3.958490566,209.8,3.958490566,,,,,,,,,,,,,,,,,,,"Connor Wong","19896",657136
"Max Kepler",,29,126,112,27,17,5,0,4,15,15,11,0,26,1,1,0,,1,0,0.237114,0.0903717,0.204327,0.44229,0.311805,0.40968,0.313819,0.721485,0.172566,3.778,0.266897,-0.114778,-0.0731754,14.966,0.0781687,100.286,-0.187953,0.269787,-0.1454247310757637,-1.080213040113449,0.310902,999,,,,,,,129.2,4.455172413,129.2,4.455172413,,,,,,,,,,,,,,,,,,,"Max Kepler","12144",596146
"Carlos Cortes","ATH",34,147,132,31,19,7,0,5,17,17,13,0,31,1,1,0,,1,0,0.23859,0.0881823,0.212831,0.41433,0.308672,0.403861,0.31059,0.712533,0.165271,2.9339,0.276594,-0.0462877,-0.226949,17.075,-0.294193,95.6783,-0.273237,0.564926,-1.0220018029212952,-1.0100743770599365,0.309743,999,,,,,,,152.8,4.494117647,152.8,4.494117647,,,,,,,,,,,,,,,,,,,"Carlos Cortes","21842",666126
"César Salazar","HOU",24,96,83,17,12,3,0,2,10,10,9,0,20,3,1,0,,1,0,0.208545,0.0900342,0.205801,0.437481,0.303408,0.321197,0.282213,0.624604,0.112652,3.44616,0.247252,-0.0155016,-0.129701,8.93923,-2.40391,79.5252,-0.145203,-0.00788517,-2.4618642032146454,1.8671148251742125,0.308616,999,,,,,,,77.6,3.233333333,77.6,3.233333333,,,,,,,,,,,,,,,,,,,"Cesar Salazar","21587",663967
"Nathan Church","STL",41,175,159,40,30,7,1,3,20,18,11,0,24,2,1,1,,4,1,0.253319,0.0645401,0.138629,0.465559,0.309542,0.35911,0.294513,0.668652,0.105791,5.00193,0.281129,-0.00316132,0.0119572,18.0431,-2.63447,89.4843,0.00879591,0.225201,-2.1722815725952387,-0.6497994959354401,0.306959,999,,,,,,,163,3.975609756,163,3.975609756,,,,,,,,,,,,,,,,,,,"Nathan Church","31357",701675
"Otto Kemp","PHI",55,238,211,49,31,11,1,7,29,30,17,0,68,8,2,0,,4,2,0.234322,0.0708245,0.284882,0.24861,0.312514,0.395302,0.310075,0.707817,0.160981,5.05014,0.306796,-0.0778116,-0.251474,27.5457,-0.575852,96.386,-0.329285,-0.993412,-1.348718374967575,-3.593411684036255,0.304501,999,,,,,,,243.8,4.432727272,243.8,4.432727272,,,,,,,,,,,,,,,,,,,"Otto Kemp","31792",805249
"Ronny Mauricio","NYM",28,119,110,27,18,5,0,4,14,14,8,1,29,1,1,0,,3,1,0.244101,0.063448,0.247531,0.256323,0.296493,0.402029,0.300918,0.698522,0.157928,4.72123,0.296443,-0.00216475,0.0650028,12.8881,-1.17268,95.0244,0.062838,0.46147,-0.6389138549566269,-0.363529771566391,0.302509,999,,,,,,,123.2,4.4,123.2,4.4,,,,,,,,,,,,,,,,,,,"Ronny Mauricio","23698",677595
"Nick Loftin","KCR",26,112,98,24,16,5,0,2,13,11,11,0,18,1,1,0,,2,1,0.242761,0.100884,0.157957,0.638679,0.32686,0.367126,0.308266,0.693986,0.124365,4.39566,0.272887,-0.0154261,-0.0778635,12.7982,-0.435472,93.8801,-0.0932896,0.34049,-0.9011440202593803,-0.05950966477394104,0.296113,999,,,,,,,106.7,4.103846153,106.7,4.103846153,,,,,,,,,,,,,,,,,,,"Nick Loftin","27630",679845
"Bryce Eldridge","SFG",97,420,377,88,53,18,0,16,42,55,35,3,125,3,4,1,,1,1,0.234374,0.0835359,0.298799,0.279572,0.301763,0.415934,0.308455,0.717697,0.18156,2.11918,0.300905,-0.0261791,-0.615089,48.0575,-1.56871,99.2799,-0.641268,-0.182961,-0.999706357717514,-10.082960590720177,0.295769,999,,,,,,,431.5,4.448453608,431.5,4.448453608,,,,,,,,,,,,,,,,,,,"Bryce Eldridge","33390",805811
"Carlos Santana","ARI",83,357,312,70,47,13,0,10,38,40,40,1,69,2,2,0,,3,0,0.224226,0.110984,0.192575,0.576312,0.314192,0.361854,0.299865,0.676045,0.137628,3.27567,0.254746,-0.595714,-0.128667,38.3591,-3.82323,90.0179,-0.724381,2.42674,-4.947999835014343,-4.048257112503052,0.294785,999,,,,,,,343.4,4.137349397,343.4,4.137349397,,,,,,,,,,,,,,,,,,,"Carlos Santana","2396",467793
"Ryan Vilade","TBR",39,168,150,36,25,7,1,4,18,18,14,0,41,2,1,0,,3,1,0.240867,0.0841168,0.244558,0.343954,0.311961,0.370622,0.30085,0.682583,0.129755,4.80795,0.305167,-0.00790699,-0.183643,18.1858,-1.66472,90.9062,-0.19155,0.745111,-1.9921991527080536,-0.9548892378807068,0.290076,999,,,,,,,166.1,4.258974358,166.1,4.258974358,,,,,,,,,,,,,,,,,,,"Ryan Vilade","22165",668723
"Jasson Domínguez","NYY",21,91,81,20,14,4,0,3,12,11,9,0,23,1,1,0,,4,1,0.25002,0.0961709,0.250084,0.384554,0.324777,0.403634,0.318407,0.728412,0.153614,5.74851,0.311696,0.00249233,0.312129,11.1477,0.395394,105.01,0.314621,-0.326378,0.852016806602478,-1.2013777196407318,0.284706,325.1700134277344,,,,,,,105.6,5.028571428,105.6,5.028571428,,,,,,,,,,,,,,,,,,,"Jasson Dominguez","28080",691176
"Hyeseong Kim","LAD",31,133,124,31,23,5,1,2,15,15,7,0,33,1,1,1,,7,1,0.249173,0.0508173,0.245542,0.20696,0.293491,0.359148,0.28599,0.652638,0.109974,6.75431,0.31929,-0.0307933,0.809839,12.7924,-2.92254,82.0069,0.779045,-0.0747112,-2.05724960565567,0.40028879046440125,0.283199,727.1799926757812,,,,,,,123.1,3.970967741,123.1,3.970967741,,,,,,,,,,,,,,,,,,,"Hyeseong Kim","35322",808975
"Luis Matos","SFG",28,119,110,27,18,6,0,4,14,15,7,0,16,1,1,0,,2,0,0.249211,0.058607,0.1328,0.441317,0.299455,0.408856,0.307054,0.708312,0.159646,4.62052,0.259052,-0.0140146,0.093055,13.481,-0.579775,98.3206,0.0790404,0.0329112,-0.15782267600297928,-1.0420888140797615,0.282306,999,,,,,,,124,4.428571428,124,4.428571428,,,,,,,,,,,,,,,,,,,"Luis Matos","26467",682641
